Task,DistCategory,ParamName,ParamValue,Distribution,Policy,Mean,Mean_Std,CVaR10,CVaR10_Std,Min,Min_Std
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.001,Jump Diffusion (Drift=0.0) | Jump Probability=0.001,RSDR (β=-10),733.2567672729492,4.019462743630133,469.605655670166,16.883145739753115,201.92099380493164,28.266127003994466
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.001,Jump Diffusion (Drift=0.0) | Jump Probability=0.001,UDR,726.0981216430664,6.151237970686863,435.2861557006836,20.586772307683272,198.50211334228516,17.14608524036881
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.001,Jump Diffusion (Drift=0.0) | Jump Probability=0.001,RSDR (β=-20),721.032470703125,12.761148901511403,468.6485481262207,18.91406498264616,192.76913690567017,60.63414192916423
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.001,Jump Diffusion (Drift=0.0) | Jump Probability=0.001,RSDR (β=-30),704.3059768676758,15.417978071288886,454.3872604370117,25.912231090075295,206.1841640472412,23.2365934057947
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.005,Jump Diffusion (Drift=0.0) | Jump Probability=0.005,RSDR (β=-10),657.8495101928711,6.220162893244803,307.94869232177734,15.306263566375529,123.6422529220581,39.58090199373722
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.005,Jump Diffusion (Drift=0.0) | Jump Probability=0.005,UDR,646.6567230224609,8.606323831127327,297.6056594848633,11.7783280403427,168.29327201843262,14.053898052077841
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.005,Jump Diffusion (Drift=0.0) | Jump Probability=0.005,RSDR (β=-20),644.5869903564453,12.45209748319817,302.90210342407227,14.519744044354336,161.6022686958313,45.42322412315112
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.005,Jump Diffusion (Drift=0.0) | Jump Probability=0.005,RSDR (β=-30),630.3598937988281,11.11808152718917,299.4061393737793,9.585335206151207,135.58050537109375,34.68082690381128
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.01,Jump Diffusion (Drift=0.0) | Jump Probability=0.01,RSDR (β=-10),601.5367126464844,7.989170590166926,259.44307136535645,8.789523465729083,138.58279991149902,39.360441630259125
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.01,Jump Diffusion (Drift=0.0) | Jump Probability=0.01,UDR,590.197021484375,9.09702608382702,258.8118896484375,8.225494034263336,163.90883445739746,7.410446473608446
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.01,Jump Diffusion (Drift=0.0) | Jump Probability=0.01,RSDR (β=-20),589.6119766235352,10.207225544964686,259.2431411743164,7.734130327898508,141.37512826919556,40.88714754611486
CartpoleSwingup,Jump Diffusion (Drift=0.0),Jump Probability,0.01,Jump Diffusion (Drift=0.0) | Jump Probability=0.01,RSDR (β=-30),577.2382888793945,8.449208602017235,256.5460147857666,6.484966874282263,124.18478465080261,55.59651148870395
